Package, Version, License(s)
acpi, 1.7-1.1, GPL
acpi-support-base, 0.142-8, GPL;GPL-2
acpid, 1:2.0.31-1, GPL;GPL-2
adduser, 3.118, GPL;GPL-2
apt, 1.8.2, GPL;GPL-2;GPLv2+
arping, 2.19-6, GPL;GPL-2;GPL-2+
arptables, 0.0.4+snapshot20181021-4, GPL;GPL-2
atftp, 0.7.git20120829-3.1, GPL
atftpd, 0.7.git20120829-3.1, GPL
auditd, 1:2.8.4-3, GPL;GPL-1;GPL-2;LGPL-2;LGPL-2.1
base-files, 10.3+deb10u3, GPL
base-passwd, 3.5.46, GPL;GPL-2;PD
bash, 5.0-4, GPL;GPL-3
bash-completion, 1:2.8-6, GPL;GPL-2;GPL-2+
bcm-sdk, 6.5.14-cl4u3, Cumulus Proprietary;GPL;GPL-2
bind9-host, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
binutils, 2.31.1-16, GFDL;GPL;LGPL
binutils-common, 2.31.1-16, GFDL;GPL;LGPL
binutils-x86-64-linux-gnu, 2.31.1-16, GFDL;GPL;LGPL
bridge-utils, 1.5-9-cl4u1, GPL;GPL-2
bsdmainutils, 11.1.2+b1, BSD
bsdutils, 1:2.33.1-0.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
busybox, 1:1.30.1-4, GPL;GPL-2
bwm-ng, 0.6.1-6, GPL;GPL-2;GPL-2+
bzip2, 1.0.6-9.2~deb10u1, BSD;BSD-variant;GPL;GPL-2
ca-certificates, 20190110, GPL;GPL-2;GPL-2+;MPL-2.0
cgroup-bin, 0.41-8.1, BSD;BSD-3-clause;GPL;GPL-2;GPL-3;LGPL-2;LGPL-2.1
cgroup-tools, 0.41-8.1, BSD;BSD-3-clause;GPL;GPL-2;GPL-3;LGPL-2;LGPL-2.1
cl-parsers, 4.0-cl4u2, Cumulus Networks Proprietary
clag, 1.3.0-cl4u3, Cumulus Networks Proprietary;GPL;GPL-2
console-setup-linux, 1.193~deb10u1, GPL;GPL-2;public domain
coreutils, 8.30-3, GPL;GPL-3
cpio, 2.12+dfsg-9, GPL;GPL-3
cron, 3.0pl1-133-cl4u1, Artistic;GPL;GPL-2;GPL-2+;ISC;Paul-Vixie's-license
cumulus-archive-keyring, 4-cl4u2, Cumulus Networks Proprietary
cumulus-basefiles, 4.1.0a, GPL;GPL-2
cumulus-hyperconverged, 0.1-cl4u2, Cumulus Networks Proprietary;GPL;GPL-2
cumulus-image, 4.0-cl4u1, GPL;GPL-2
cumulus-initramfs, 4.0-cl4u2, GPL;GPL-2
cumulus-local-apt-archive, 1.0.0-cl4u2, Cumulus Proprietary;GPL;GPL-2
cumulus-net-snmp-addons, 1-cl4u4, GPL;GPL-2
cumulus-newpackages-bcm, 1.0.0-cl4u1, GPL;GPL-3;GPL-3.0+
cumulus-overrides, 4.0-cl4u3, Cumulus Networks Proprietary;GPL;GPL-2
cumulus-platform, 4.0-cl4u2, Cumulus Networks Proprietary;Elagin;GPL;GPL-2;MIT
cumulus-poe, 4.0-cl4u3, Cumulus Proprietary ;GPL;GPL-2
cumulus-tools, 4.0-cl4u3, Cumulus Networks Proprietary;Elagin;GPL;GPL-2;MIT
curl, 7.64.0-4+deb10u1, BSD;BSD-3-Clause;BSD-4-Clause;curl;ISC;other;public-domain
dash, 0.5.10.2-5, GPL
dbus, 1.12.16-1, AFL-2.1;BSD;BSD-3-clause;BSD-3-clause-generic;Expat;g10-permissive;GPL;GPL-2;GPL-2+;Tcl-BSDish
debconf, 1.5.71, BSD;BSD-2-clause
debconf-i18n, 1.5.71, BSD;BSD-2-clause
debian-archive-keyring, 2019.1, GPL
debianutils, 4.8.6.1, GPL;public domain
debsums, 2.2.3, GPL;GPL-2;GPL-2+
dialog, 1.3-20190211-1, LGPL-2
diffutils, 1:3.7-3, GFDL;GPL
dirmngr, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
discover, 2.1.2-8, GPL
discover-data, 2.2013.01.11, public domain
distro-info-data, 0.41+deb10u1, ISC
dmeventd, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
dmidecode, 3.2-1, GPL;GPL-2;GPL-2+
dmsetup, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
dnsmasq, 2.80-1, GPL;GPL-2;GPL-3
dnsmasq-base, 2.80-1, GPL;GPL-2;GPL-3
dnsutils, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
docutils-common, 0.14+dfsg-4, BEOPEN;BSD;BSD-2-clause;BSD-3-clause;CNRI;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;public domain;public-domain;Python-2.1.1
dos2unix, 7.4.0-1, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;Public-Domain
dpkg, 1.19.7, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;public domain;public-domain-md5;public-domain-s-s-d
dtach, 0.9-4, GPL;GPL-2;GPL-2+
e2fslibs, 1.44.5-1+deb10u3, BSD;GPL;GPL-2;LGPL-2;MIT
e2fsprogs, 1.44.5-1+deb10u3, BSD;GPL;GPL-2;LGPL-2;MIT
ebtables, 2.0.10.4-3-cl4u1, GPL;GPL-2
efibootmgr, 15-1, GPL;GPL-2;GPL-2.0+
eject, 2.1.5+deb1+cvs20081104-13.2, GPL;GPL-2
etckeeper, 1.18.10-1, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+
ethtool, 4.19.0-cl4u1, GPL;GPL-2
fdisk, 2.33.1-0.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
file, 1:5.35-4+deb10u1, BSD;BSD-2-Clause-alike;BSD-2-Clause-netbsd;BSD-2-Clause-regents;MIT;MIT-Old-Style-with-legal-disclaimer-2;public domain;public-domain
findutils, 4.6.0+git+20190209-2, GFDL-1;GPL;GPL-3
firmware-linux-free, 3.4, BSD;GPL;GPL-2;GPL-3
fontconfig-config, 2.13.1-2, BSD-like
fonts-dejavu-core, 2.37-1, bitstream-vera;GPL;GPL-2;GPL-2+;public domain
freeipmi-common, 1.6.3-1.1, GPL;GPL-3;GPL-3+;LGPL-3;LGPL-3+
frr, 7.0+cl4u2, BSD;BSD-0-clause;BSD-2-clause;BSD-3-clause;custom-BSD-like;FRR-docs;GPL;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2.1+;MIT
frr-doc, 7.0+cl4u2, BSD;BSD-0-clause;BSD-2-clause;BSD-3-clause;custom-BSD-like;FRR-docs;GPL;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2.1+;MIT
frr-pythontools, 7.0+cl4u2, BSD;BSD-0-clause;BSD-2-clause;BSD-3-clause;custom-BSD-like;FRR-docs;GPL;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2.1+;MIT
frr-snmp, 7.0+cl4u2, BSD;BSD-0-clause;BSD-2-clause;BSD-3-clause;custom-BSD-like;FRR-docs;GPL;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2.1+;MIT
gcc-8-base, 8.3.0-6, Artistic;BSD;GFDL-1;GPL;GPL-2;GPL-3;LGPL;zlib
gdisk, 1.0.3-1.1, LGPL-2;LGPL-2.0+
gettext-base, 0.19.8.1-9, GFDL;GPL;LGPL
git, 1:2.20.1-2+deb10u1, Apache-2;Apache-2.0;Artistic;Artistic-1;Boost;BSD;BSD-2-clause;dlmalloc;EDL-1.0;Expat;GPL;GPL-1+;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2+;LGPL-2.1+;mingw-runtime;public domain
git-man, 1:2.20.1-2+deb10u1, Apache-2;Apache-2.0;Artistic;Artistic-1;Boost;BSD;BSD-2-clause;dlmalloc;EDL-1.0;Expat;GPL;GPL-1+;GPL-2;GPL-2+;ISC;LGPL-2;LGPL-2+;LGPL-2.1+;mingw-runtime;public domain
gnupg, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gnupg-l10n, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gnupg-utils, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpg, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpg-agent, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpg-wks-client, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpg-wks-server, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpgconf, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpgsm, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
gpgv, 2.2.12-1+deb10u1, BSD;BSD-3-clause;CC0-1;CC0-1.0;Expat;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+;permissive;RFC-Reference;TinySCHEME
grep, 3.3-1, GPL;GPL-3;GPL-3+
groff-base, 1.22.4-3, BSD;GFDL-1;GPL;GPL-3;MIT;public domain
grub-common, 2.02+dfsg1-20, CC-BY-SA-3.0;Expat;GPL;GPL-3;GPL-3+
grub-pc, 2.02+dfsg1-20, CC-BY-SA-3.0;Expat;GPL;GPL-3;GPL-3+
grub-pc-bin, 2.02+dfsg1-20, CC-BY-SA-3.0;Expat;GPL;GPL-3;GPL-3+
grub2-common, 2.02+dfsg1-20, CC-BY-SA-3.0;Expat;GPL;GPL-3;GPL-3+
gunicorn, 19.9.0-1, BSD;BSD-3-clause;GPL;GPL-3;GPL-3+;MIT
gzip, 1.9-3, GPL
haveged, 1.9.1-7, GPL;GPL-3;GPL-3+;permissive-mconf;permissive-nist;public domain;public-domain
hdparm, 9.58+ds-1, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;hdparm
hostapd, 1:2.8.0-cl4u5, BSD;BSD-3-clause;GPL;GPL-2;ISC;public domain;public-domain
hostname, 3.21, GPL;GPL-2
hsflowd, 2.0.11-cl4u1, Adaptive
htop, 2.2.0-1+b1, GPL;GPL-2;GPL-2+
i2c-tools, 4.1-1, GPL;GPL-2;LGPL-2
ieee-data, 20180805.1, GPL;GPL-2;GPL-2+;other;WTFPL-2
ifupdown2, 2.0.1-cl4u2, GPL;GPL-2
init, 1.56+nmu1, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
init-system-helpers, 1.56+nmu1, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
initramfs-tools, 0.133+deb10u1, GPL;GPL-2
initramfs-tools-core, 0.133+deb10u1, GPL;GPL-2
insserv, 1.18.0-2, GPL;GPL-2
installation-report, 2.71, GPL;GPL-2
ipmitool, 1.8.18-6, BSD;BSD-3-clause
iproute2, 4.19.0-cl4u2, GPL;GPL-2
iproute2-doc, 4.19.0-cl4u2, GPL;GPL-2
iptables, 1.8.2-3-cl4u1, Artistic-2;custom;GPL;GPL-2;GPL-2+
iputils-ping, 3:20180629-2, BSD;GPL
irqbalance, 1.5.0-3, GPL
isc-dhcp-client, 4.4.1-cl4u4, GPL;GPL-2;ISC;MPL-2;MPL-2.0
isc-dhcp-common, 4.4.1-cl4u4, GPL;GPL-2;ISC;MPL-2;MPL-2.0
isc-dhcp-relay, 4.4.1-cl4u4, GPL;GPL-2;ISC;MPL-2;MPL-2.0
isc-dhcp-server, 4.4.1-cl4u4, GPL;GPL-2;ISC;MPL-2;MPL-2.0
kbd, 2.0.4-4, GPL;GPL-*”;GPL-2+;GPL-2”;GPL-2-with-exceptions;GPL-any
keyboard-configuration, 1.193~deb10u1, GPL;GPL-2;public domain
klibc-utils, 2.0.6-1, BSD;GPL;GPL-2
kmod, 26-1, GPL;GPL-2;LGPL-2
krb5-locales, 1.17-3, BSD;GPL;GPL-2;MIT
l1-tools, 4.0-cl4u2, Cumulus Networks Proprietary
less, 487-0.1+b1, GPL;GPL-3
libacl1, 2.2.53-4, GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+
libaio1, 0.3.112-3, LGPL-2;LGPL-2.1+
libapparmor1, 2.13.2-10, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2.1+
libapt-inst2.0, 1.8.2, GPL;GPL-2;GPLv2+
libapt-pkg5.0, 1.8.2, GPL;GPL-2;GPLv2+
libargon2-1, 0~20171227-0.2, Apache-2;Apache-2.0;CC0
libassuan0, 2.5.2-1, GAP;GAP~FSF;GPL;GPL-2;GPL-2+;GPL-2+ with libtool exception;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+
libatomic1, 8.3.0-6, Artistic;BSD;GFDL-1;GPL;GPL-2;GPL-3;LGPL;zlib
libattr1, 1:2.4.48-4, GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+
libaudit-common, 1:2.8.4-3, GPL;GPL-1;GPL-2;LGPL-2;LGPL-2.1
libaudit1, 1:2.8.4-3, GPL;GPL-1;GPL-2;LGPL-2;LGPL-2.1
libauparse0, 1:2.8.4-3, GPL;GPL-1;GPL-2;LGPL-2;LGPL-2.1
libbabeltrace1, 1.5.6-2+deb10u1, GPL;GPL-2;GPL-3;GPL-3+;LGPL-2.1;MIT
libbind9-161, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libbinutils, 2.31.1-16, GFDL;GPL;LGPL
libblkid1, 2.33.1-0.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libbsd0, 0.9.1-2, Beerware;BSD;BSD-2-clause;BSD-2-clause-author;BSD-2-clause-NetBSD;BSD-2-clause-verbatim;BSD-3-clause;BSD-3-clause-author;BSD-3-clause-John-Birrell;BSD-3-clause-Regents;BSD-4-clause-Christopher-G-Demetriou;BSD-4-clause-Niels-Provos;BSD-5-clause-Peter-Wemm;Expat;ISC;ISC-Original;public domain;public-domain;public-domain-Colin-Plumb
libbz2-1.0, 1.0.6-9.2~deb10u1, BSD;BSD-variant;GPL;GPL-2
libc-ares2, 1.14.0-1, GPL;MIT
libc-bin, 2.28-10, BSD;GPL;GPL-2;ISC;LGPL-2
libc-l10n, 2.28-10, BSD;GPL;GPL-2;ISC;LGPL-2
libc6, 2.28-10, BSD;GPL;GPL-2;ISC;LGPL-2
libcap-ng0, 0.7.9-2, GPL;GPL-2;GPL-3;LGPL-2
libcap2, 1:2.25-2, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
libcap2-bin, 1:2.25-2, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
libcdt5, 2.40.1-6, EPL-1.0;MIT;X/MIT;zlib;zlib-style
libcgraph6, 2.40.1-6, EPL-1.0;MIT;X/MIT;zlib;zlib-style
libcgroup1, 0.41-8.1, BSD;BSD-3-clause;GPL;GPL-2;GPL-3;LGPL-2;LGPL-2.1
libcli1.9, 1.9.7-2+b11, LGPL
libcom-err2, 1.44.5-1+deb10u3, MIT
libcomerr2, 1.44.5-1+deb10u3, BSD;GPL;GPL-2;LGPL-2;MIT
libcryptsetup12, 2:2.1.0-5+deb10u2, Apache-2;Apache-2.0;CC0;CC0-1;GPL;GPL-2;GPL-2+;GPL-2+ with OpenSSL exception;LGPL-2;LGPL-2.1+;LGPL-2.1+ with OpenSSL exception;public-domain
libcurl3-gnutls, 7.64.0-4+deb10u1, BSD;BSD-3-Clause;BSD-4-Clause;curl;ISC;other;public-domain
libcurl4, 7.64.0-4+deb10u1, BSD;BSD-3-Clause;BSD-4-Clause;curl;ISC;other;public-domain
libdb5.3, 9999-cl4u1, GPL;GPL-2
libdbd-sqlite3-perl, 1.62-3, Artistic;GPL;GPL-1;GPL-1+;public-domain
libdbi-perl, 1.642-1+b1, Artistic;GPL;GPL-1;GPL-1+
libdbus-1-3, 1.12.16-1, AFL-2.1;BSD;BSD-3-clause;BSD-3-clause-generic;Expat;g10-permissive;GPL;GPL-2;GPL-2+;Tcl-BSDish
libdebconfclient0, 0.249, public domain
libdevmapper-event1.02.1, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
libdevmapper1.02.1, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
libdiscover2, 2.1.2-8, GPL
libdns-export1104, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libdns1104, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libdpkg-perl, 1.19.7, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;public domain;public-domain-md5;public-domain-s-s-d
libdw1, 0.176-1.1, GPL;GPL-2;GPL-3;LGPL-
libedit2, 3.1-20181209-1, BSD;BSD-3-clause
libefiboot1, 37-2, GPL;GPL-2;GPL-2.0+;LGPL-2;LGPL-2.0+
libefivar1, 37-2, GPL;GPL-2;GPL-2.0+;LGPL-2;LGPL-2.0+
